timestamp,v_kmh,soc_pct,dist_km,state
28860,81.3333,94.83658548069197,1.3555549999999998,Base_Route
28920,81.3333,94.94030027077454,2.7111099999999997,Base_Route
28980,81.3333,94.90327838165594,4.0666649999999995,Base_Route
29040,81.3333,94.79878460399456,5.422219999999999,Base_Route
29100,81.3333,94.84653028187137,6.777774999999999,Base_Route
29160,81.3333,94.51309827003048,8.133329999999999,Base_Route
29220,81.3333,94.50979217386262,9.488885,Base_Route
29280,81.3333,94.36593377437832,10.844439999999999,Base_Route
29340,81.3333,93.98742430845385,12.199994999999998,Base_Route
29400,81.3333,93.69848990510306,13.555549999999997,Base_Route
29460,81.3333,93.49913739381199,14.911104999999996,Base_Route
29520,81.3333,93.37889926716663,16.266659999999995,Base_Route
29580,81.3333,93.33775397174814,17.622214999999994,Base_Route
29640,81.3333,93.2815240588092,18.977769999999992,Base_Route
29700,81.3333,93.0637255941522,20.33332499999999,Base_Route
29760,81.3333,92.7784535379176,21.68887999999999,Base_Route
29820,81.3333,92.47793818549027,23.04443499999999,Base_Route
29880,81.3333,91.23332525172658,24.39998999999999,Base_Route
29940,81.3333,92.42178416455232,25.755544999999987,Base_Route
30000,81.3333,89.9082533556731,27.111099999999986,Base_Route
30060,81.3333,91.63139601542974,28.466654999999985,Base_Route
30120,81.3333,92.0691742665022,29.822209999999984,Base_Route
30180,81.3333,92.25049822184968,31.177764999999983,Base_Route
30240,81.3333,92.45765887378474,32.53331999999998,Base_Route
30300,81.3333,92.38716857307907,33.888874999999985,Base_Route
30360,81.3333,92.038912729692,35.24442999999999,Base_Route
30420,81.3333,91.76829099435845,36.59998499999999,Base_Route
30480,81.3333,90.65640520718938,37.95553999999999,Base_Route
30540,81.3333,90.63467606788387,39.311094999999995,Base_Route
30600,81.3333,90.92015140382142,40.66665,Base_Route
30660,81.3333,91.23601931823762,42.022205,Base_Route
30720,81.3333,91.47632300929892,43.37776,Base_Route
30780,81.3333,91.60480209590145,44.733315000000005,Base_Route
30840,81.3333,91.89316981304447,46.08887000000001,Base_Route
30900,81.3333,92.04833262963103,47.44442500000001,Base_Route
30960,81.3333,91.86083912201632,48.79998000000001,Base_Route
31020,81.3333,91.63378514715652,50.155535000000015,Base_Route
31080,81.3333,91.40874793771779,51.51109000000002,Base_Route
31140,81.3333,91.8841302711326,52.86664500000002,Base_Route
31200,81.3333,91.9970525777152,54.22220000000002,Base_Route
31260,81.3333,91.43157078035365,55.577755000000025,Base_Route
31320,81.3333,91.27471945980488,56.93331000000003,Base_Route
31380,81.3333,91.53694817575096,58.28886500000003,Base_Route
31440,81.3333,91.14070824851933,59.64442000000003,Base_Route
31500,81.3333,91.30935186432615,60.999975000000035,Base_Route
31560,81.3333,91.45693795533832,62.35553000000004,Base_Route
31620,81.3333,91.4785878198734,63.71108500000004,Base_Route
31680,81.3333,91.31127791534047,65.06664000000004,Base_Route
31740,81.3333,91.10117779084494,66.42219500000003,Base_Route
31800,81.3333,91.37099412307487,67.77775000000003,Base_Route
31860,81.3333,91.55564240940083,69.13330500000002,Base_Route
31920,81.3333,91.55024854235647,70.48886000000002,Base_Route
31980,81.3333,91.56375860051743,71.84441500000001,Base_Route
32040,81.3333,91.61683914808808,73.19997000000001,Base_Route
32100,81.3333,91.4059091762539,74.555525,Base_Route
32160,81.3333,91.16084299403833,75.91108,Base_Route
32220,81.3333,91.42529401368546,77.266635,Base_Route
32280,81.3333,91.25766219086414,78.62218999999999,Base_Route
32340,81.3333,91.34807790492415,79.97774499999998,Base_Route
32400,81.3333,91.61263718274868,81.33329999999998,Base_Route
32460,81.3333,91.50722716568768,82.68885499999998,Base_Route
32520,81.3333,91.4082055612048,84.04440999999997,Base_Route
32580,81.3333,91.23170748586347,85.39996499999997,Base_Route
32640,81.3333,91.18674694829124,86.75551999999996,Base_Route
32700,81.3333,90.9175338155993,88.11107499999996,Base_Route
32760,81.3333,90.74813617578876,89.46662999999995,Base_Route
32820,81.3333,90.65749777703799,90.82218499999995,Base_Route
32880,81.3333,90.635023286047,92.17773999999994,Base_Route
32940,81.3333,90.70150472658939,93.53329499999994,Base_Route
33000,81.3333,90.86727753084395,94.88884999999993,Base_Route
33060,81.3333,90.87073841006722,96.24440499999993,Base_Route
33120,81.3333,90.96283038460385,97.59995999999992,Base_Route
33180,81.3333,90.95518394457426,98.95551499999992,Base_Route
33240,81.3333,90.85818181644063,100.31106999999992,Base_Route
