timestamp_sec,latitude,longitude,altitude,irradiance_wm2,potential_solar_power_w,alt_diff,slope_rad
28800.0,-26.81,27.83,1491.0,496.55906867736877,479.6760603423382,0.0,0.0
29127.272727272728,-26.797171717171715,27.81232323232323,1466.0,514.0536800583956,496.57585493641005,-25.0,-0.013025579074767249
29454.545454545456,-26.784343434343434,27.794646464646462,1455.0,531.7412306895102,513.6620288460668,-11.0,-0.0057315161859107745
29781.81818181818,-26.77151515151515,27.776969696969694,1451.0,549.5997282180268,530.9133374586138,-4.0,-0.0020842075084330004
30109.090909090908,-26.75868686868687,27.75929292929293,1433.0,567.6060178636636,548.307413256299,-18.0,-0.009378672377648686
30436.363636363636,-26.745858585858585,27.74161616161616,1452.0,585.7358182983538,565.8208004762097,19.0,0.00989967658601847
30763.636363636364,-26.7330303030303,27.723939393939393,1440.0,603.9637632701024,583.4289953189189,-12.0,-0.006252550097811008
31090.909090909092,-26.72020202020202,27.706262626262625,1442.0,622.2634489571412,601.1064916925984,2.0,0.0010421048859218086
31418.181818181816,-26.707373737373736,27.688585858585856,1467.0,640.6074870057895,618.8268324475927,25.0,0.013025579074767249
31745.454545454544,-26.69454545454545,27.67090909090909,1484.0,658.9675631718235,636.5626660239814,17.0,0.00885766307748564
32072.727272727272,-26.68171717171717,27.65323232323232,1493.0,677.3145014510245,654.2858084016897,9.0,0.004689439309003358
32400.0,-26.668888888888887,27.635555555555555,1495.0,695.6183335501603,671.9673102094548,2.0,0.0010421048859218086
32727.272727272728,-26.656060606060606,27.617878787878787,1490.0,713.8483735151667,689.577528815651,-5.0,-0.002605257263601056
33054.545454545456,-26.643232323232322,27.60020202020202,1487.0,731.9732972990171,707.0862051908504,-3.0,-0.0015631566215660888
33381.818181818184,-26.630404040404038,27.58252525252525,1500.0,749.9612270179302,724.4625452993205,13.0,0.006773580614850628
33709.09090909091,-26.617575757575757,27.564848484848483,1520.0,767.7798196114403,741.6753057446512,20.0,0.010420675419825557
34036.36363636363,-26.604747474747473,27.547171717171715,1542.0,785.3963595896843,758.6928833636349,22.0,0.011462655832762354
34363.63636363636,-26.591919191919192,27.529494949494946,1655.0,802.7778555203283,775.4834084326371,113.0,0.05881104939650909
